year,"AIDS-related deaths, Females Adults 15+",Country
numeric,numeric,numeric
1990,17,1
1991,41,1
1992,88,1
1993,170,1
1994,299,1
1995,486,1
1996,740,1
1997,1065,1
1998,1456,1
1999,1896,1
2000,2366,1
2001,2833,1
2002,3187,1
2003,3484,1
2004,3761,1
2005,3813,1
2006,3422,1
2007,2810,1
2008,2223,1
2009,1963,1
2010,2090,1
2011,1930,1
2012,1644,1
2013,1417,1
2014,1308,1
1990,302,10
1991,499,10
1992,790,10
1993,1200,10
1994,1748,10
1995,2444,10
1996,3286,10
1997,4256,10
1998,5312,10
1999,6403,10
2000,7472,10
2001,8464,10
2002,9221,10
2003,9250,10
2004,8240,10
2005,6314,10
2006,5053,10
2007,4289,10
2008,4443,10
2009,3880,10
2010,2512,10
2011,2131,10
2012,2103,10
2013,1781,10
2014,1529,10
1990,31,9
1991,64,9
1992,128,9
1993,249,9
1994,462,9
1995,805,9
1996,1303,9
1997,1961,9
1998,2764,9
1999,3677,9
2000,4653,9
2001,5626,9
2002,6523,9
2003,7236,9
2004,7767,9
2005,8051,9
2006,7384,9
2007,6945,9
2008,5887,9
2009,5242,9
2010,4005,9
2011,3485,9
2012,3957,9
2013,3961,9
2014,4071,9