year,AIDS_related_deaths_Males Adults 15+,Country
numeric,numeric,numeric
1990,20,1
1991,45,1
1992,91,1
1993,169,1
1994,291,1
1995,466,1
1996,700,1
1997,991,1
1998,1333,1
1999,1713,1
2000,2110,1
2001,2496,1
2002,2783,1
2003,3010,1
2004,3205,1
2005,3215,1
2006,2874,1
2007,2441,1
2008,2499,1
2009,2375,1
2010,2423,1
2011,2260,1
2012,2047,1
2013,1781,1
2014,1614,1
1990,3895,2
1991,5904,2
1992,8594,2
1993,12019,2
1994,16156,2
1995,20953,2
1996,26199,2
1997,31651,2
1998,36980,2
1999,41802,2
2000,45607,2
2001,48344,2
2002,49943,2
2003,50506,2
2004,49929,2
2005,46922,2
2006,42906,2
2007,37341,2
2008,34146,2
2009,30186,2
2010,24588,2
2011,20518,2
2012,18865,2
2013,17810,2
2014,16384,2
1990,13019,3
1991,14697,3
1992,16259,3
1993,17705,3
1994,19006,3
1995,20222,3
1996,21340,3
1997,22366,3
1998,23293,3
1999,24111,3
2000,24832,3
2001,25494,3
2002,26091,3
2003,26323,3
2004,24505,3
2005,23054,3
2006,21380,3
2007,18891,3
2008,13051,3
2009,10593,3
2010,10725,3
2011,11860,3
2012,10956,3
2013,9780,3
2014,9853,3
1990,219,4
1991,557,4
1992,1295,4
1993,2753,4
1994,5353,4
1995,9548,4
1996,15757,4
1997,24255,4
1998,35131,4
1999,48190,4
2000,63003,4
2001,78858,4
2002,94940,4
2003,110404,4
2004,123249,4
2005,127803,4
2006,131393,4
2007,129831,4
2008,127980,4
2009,132841,4
2010,138266,4
2011,128947,4
2012,99306,4
2013,73924,4
2014,64116,4
1990,77,5
1991,119,5
1992,182,5
1993,277,5
1994,417,5
1995,617,5
1996,888,5
1997,1237,5
1998,1659,5
1999,2135,5
2000,2631,5
2001,3079,5
2002,3501,5
2003,3838,5
2004,4037,5
2005,3956,5
2006,3226,5
2007,2167,5
2008,1705,5
2009,1635,5
2010,1633,5
2011,2984,5
2012,3552,5
2013,3278,5
2014,3401,5
1990,1123,6
1991,1550,6
1992,2121,6
1993,2829,6
1994,3672,6
1995,4616,6
1996,5699,6
1997,6940,6
1998,8367,6
1999,9971,6
2000,11747,6
2001,13687,6
2002,15753,6
2003,17854,6
2004,19671,6
2005,21332,6
2006,22232,6
2007,21619,6
2008,19694,6
2009,19610,6
2010,21751,6
2011,22801,6
2012,23432,6
2013,24224,6
2014,20023,6
1990,4618,7
1991,5885,7
1992,7326,7
1993,8960,7
1994,10787,7
1995,12845,7
1996,15004,7
1997,17184,7
1998,19296,7
1999,21275,7
2000,23062,7
2001,24642,7
2002,25983,7
2003,27085,7
2004,27883,7
2005,27747,7
2006,26817,7
2007,25095,7
2008,22934,7
2009,20626,7
2010,18671,7
2011,17508,7
2012,16725,7
2013,15201,7
2014,14020,7
1990,22,8
1991,43,8
1992,76,8
1993,124,8
1994,190,8
1995,274,8
1996,376,8
1997,495,8
1998,625,8
1999,762,8
2000,902,8
2001,1037,8
2002,1161,8
2003,1271,8
2004,1363,8
2005,1434,8
2006,1488,8
2007,1519,8
2008,1538,8
2009,1551,8
2010,1551,8
2011,1543,8
2012,1522,8
2013,1513,8
2014,1486,8
1990,42,9
1991,78,9
1992,144,9
1993,261,9
1994,455,9
1995,749,9
1996,1156,9
1997,1670,9
1998,2273,9
1999,2935,9
2000,3630,9
2001,4309,9
2002,4921,9
2003,5403,9
2004,5754,9
2005,5944,9
2006,5554,9
2007,5020,9
2008,4310,9
2009,3972,9
2010,3797,9
2011,3573,9
2012,3708,9
2013,4059,9
2014,4270,9
1990,298,10
1991,474,10
1992,730,10
1993,1082,10
1994,1546,10
1995,2128,10
1996,2826,10
1997,3623,10
1998,4486,10
1999,5370,10
2000,6231,10
2001,7027,10
2002,7630,10
2003,7634,10
2004,6797,10
2005,5240,10
2006,4239,10
2007,3659,10
2008,3823,10
2009,3721,10
2010,3846,10
2011,3618,10
2012,3414,10
2013,3570,10
2014,3243,10
1990,431,11
1991,504,11
1992,589,11
1993,689,11
1994,805,11
1995,939,11
1996,1094,11
1997,1270,11
1998,1472,11
1999,1703,11
2000,1962,11
2001,2249,11
2002,2559,11
2003,2887,11
2004,3221,11
2005,3514,11
2006,3738,11
2007,3502,11
2008,3574,11
2009,3741,11
2010,3817,11
2011,3829,11
2012,3931,11
2013,4008,11
2014,3971,11