year,AIDS-related deaths - Females Adults 15+ estimate ,Country
numeric,numeric,numeric
1990,17,1
1991,41,1
1992,88,1
1993,170,1
1994,299,1
1995,486,1
1996,740,1
1997,1065,1
1998,1456,1
1999,1896,1
2000,2366,1
2001,2833,1
2002,3187,1
2003,3484,1
2004,3761,1
2005,3813,1
2006,3422,1
2007,2810,1
2008,2223,1
2009,1963,1
2010,2090,1
2011,1930,1
2012,1644,1
2013,1417,1
2014,1308,1
1990,3925,2
1991,6217,2
1992,9369,2
1993,13472,2
1994,18526,2
1995,24463,2
1996,31056,2
1997,38017,2
1998,44949,2
1999,51402,2
2000,56824,2
2001,61071,2
2002,63986,2
2003,65618,2
2004,65763,2
2005,62731,2
2006,58454,2
2007,52229,2
2008,42810,2
2009,34984,2
2010,27883,2
2011,21853,2
2012,19552,2
2013,17535,2
2014,15518,2
1990,3925,3
1991,6217,3
1992,9369,3
1993,13472,3
1994,18526,3
1995,24463,3
1996,31056,3
1997,38017,3
1998,44949,3
1999,51402,3
2000,56824,3
2001,61071,3
2002,63986,3
2003,65618,3
2004,65763,3
2005,62731,3
2006,58454,3
2007,52229,3
2008,42810,3
2009,34984,3
2010,27883,3
2011,21853,3
2012,19552,3
2013,17535,3
2014,15518,3
1990,205,4
1991,540,4
1992,1296,4
1993,2827,4
1994,5606,4
1995,10156,4
1996,16969,4
1997,26431,4
1998,38775,4
1999,53994,4
2000,71871,4
2001,91737,4
2002,112733,4
2003,133852,4
2004,151855,4
2005,155840,4
2006,160086,4
2007,156192,4
2008,152826,4
2009,162145,4
2010,172841,4
2011,155552,4
2012,107627,4
2013,72340,4
2014,62634,4
1990,83,5
1991,134,5
1992,215,5
1993,338,5
1994,522,5
1995,787,5
1996,1147,5
1997,1612,5
1998,2180,5
1999,2831,5
2000,3524,5
2001,4172,5
2002,4800,5
2003,5321,5
2004,5663,5
2005,5623,5
2006,4686,5
2007,3219,5
2008,2409,5
2009,2126,5
2010,2082,5
2011,1667,5
2012,2862,5
2013,1652,5
2014,1253,5
1990,559,6
1991,839,6
1992,1239,6
1993,1783,6
1994,2501,6
1995,3404,6
1996,4544,6
1997,5956,6
1998,7678,6
1999,9720,6
2000,12086,6
2001,14777,6
2002,17743,6
2003,20861,6
2004,23720,6
2005,26425,6
2006,28063,6
2007,27346,6
2008,23243,6
2009,22688,6
2010,24616,6
2011,24919,6
2012,25407,6
2013,24940,6
2014,17399,6
1990,5447,7
1991,7107,7
1992,9017,7
1993,11206,7
1994,13677,7
1995,16503,7
1996,19511,7
1997,22586,7
1998,25602,7
1999,28461,7
2000,31071,7
2001,33387,7
2002,35361,7
2003,36980,7
2004,38064,7
2005,37271,7
2006,35098,7
2007,31526,7
2008,27457,7
2009,23632,7
2010,20587,7
2011,18786,7
2012,17259,7
2013,14602,7
2014,12833,7
1990,20,8
1991,37,8
1992,65,8
1993,105,8
1994,160,8
1995,231,8
1996,318,8
1997,421,8
1998,535,8
1999,657,8
2000,783,8
2001,908,8
2002,1025,8
2003,1129,8
2004,1218,8
2005,1287,8
2006,1340,8
2007,1372,8
2008,1391,8
2009,1405,8
2010,1404,8
2011,1395,8
2012,1371,8
2013,1350,8
2014,1308,8
1990,31,9
1991,64,9
1992,128,9
1993,249,9
1994,462,9
1995,805,9
1996,1303,9
1997,1961,9
1998,2764,9
1999,3677,9
2000,4653,9
2001,5626,9
2002,6523,9
2003,7236,9
2004,7767,9
2005,8051,9
2006,7384,9
2007,6945,9
2008,5887,9
2009,5242,9
2010,4005,9
2011,3485,9
2012,3957,9
2013,3961,9
2014,4071,9
1990,302,10
1991,499,10
1992,790,10
1993,1200,10
1994,1748,10
1995,2444,10
1996,3286,10
1997,4256,10
1998,5312,10
1999,6403,10
2000,7472,10
2001,8464,10
2002,9221,10
2003,9250,10
2004,8240,10
2005,6314,10
2006,5053,10
2007,4289,10
2008,4443,10
2009,3880,10
2010,2512,10
2011,2131,10
2012,2103,10
2013,1781,10
2014,1529,10
1990,366,11
1991,459,11
1992,573,11
1993,709,11
1994,871,11
1995,1060,11
1996,1280,11
1997,1533,11
1998,1823,11
1999,2153,11
2000,2524,11
2001,2934,11
2002,3377,11
2003,3845,11
2004,4322,11
2005,4743,11
2006,5069,11
2007,4765,11
2008,4898,11
2009,5139,11
2010,5267,11
2011,5307,11
2012,5514,11
2013,5622,11
2014,4980,11