Year,New HIV Infections - Male Adults 15+,Country
numeric,numeric,numeric
1990,1734,1
1991,2916,1
1992,4323,1
1993,5610,1
1994,6597,1
1995,7096,1
1996,7170,1
1997,6946,1
1998,6531,1
1999,6070,1
2000,5704,1
2001,5504,1
2002,5345,1
2003,5265,1
2004,5232,1
2005,5196,1
2006,5121,1
2007,5034,1
2008,4979,1
2009,4905,1
2010,5269,1
2011,4836,1
2012,4544,1
2013,4232,1
2014,3888,1
1990,78696,2
1991,92793,2
1992,102439,2
1993,106146,2
1994,104381,2
1995,97883,2
1996,88407,2
1997,77787,2
1998,67077,2
1999,57579,2
2000,49541,2
2001,43179,2
2002,38505,2
2003,35255,2
2004,33234,2
2005,31876,2
2006,30925,2
2007,30102,2
2008,29574,2
2009,29004,2
2010,28123,2
2011,27085,2
2012,25768,2
2013,24005,2
2014,23741,2
1990,30492,3
1991,29543,3
1992,30044,3
1993,30747,3
1994,31598,3
1995,32563,3
1996,33417,3
1997,34188,3
1998,34697,3
1999,34896,3
2000,34811,3
2001,34439,3
2002,33857,3
2003,33019,3
2004,31857,3
2005,30721,3
2006,29463,3
2007,28169,3
2008,26553,3
2009,25579,3
2010,27657,3
2011,26821,3
2012,25878,3
2013,25065,3
2014,24038,3
1990,24978,4
1991,50448,4
1992,90171,4
1993,141849,4
1994,196183,4
1995,241152,4
1996,268056,4
1997,277922,4
1998,271382,4
1999,256244,4
2000,236776,4
2001,218839,4
2002,208905,4
2003,200481,4
2004,193142,4
2005,186748,4
2006,182283,4
2007,179182,4
2008,177429,4
2009,177305,4
2010,176523,4
2011,171757,4
2012,161094,4
2013,149822,4
2014,144885,4
1990,1920,5
1991,2897,5
1992,4203,5
1993,5736,5
1994,7354,5
1995,8661,5
1996,9501,5
1997,9690,5
1998,9451,5
1999,8666,5
2000,7596,5
2001,6609,5
2002,5884,5
2003,5272,5
2004,4789,5
2005,4420,5
2006,4117,5
2007,3866,5
2008,3717,5
2009,4280,5
2010,4536,5
2011,4521,5
2012,4317,5
2013,4317,5
2014,4334,5
1990,11362,6
1991,14167,6
1992,17242,6
1993,21163,6
1994,25783,6
1995,30211,6
1996,34485,6
1997,39327,6
1998,42261,6
1999,44778,6
2000,47894,6
2001,48741,6
2002,48441,6
2003,47363,6
2004,46100,6
2005,44645,6
2006,43187,6
2007,40645,6
2008,38469,6
2009,37239,6
2010,36782,6
2011,36226,6
2012,36222,6
2013,36396,6
2014,34508,6
1990,39471,7
1991,42380,7
1992,42902,7
1993,42534,7
1994,41002,7
1995,39346,7
1996,38118,7
1997,36654,7
1998,35045,7
1999,33301,7
2000,31654,7
2001,30139,7
2002,28820,7
2003,27624,7
2004,26552,7
2005,25457,7
2006,24268,7
2007,23032,7
2008,21721,7
2009,20405,7
2010,19231,7
2011,18076,7
2012,16610,7
2013,15097,7
2014,13898,7
1990,1191,8
1991,1634,8
1992,2033,8
1993,2332,8
1994,2540,8
1995,2612,8
1996,2540,8
1997,2311,8
1998,2138,8
1999,1992,8
2000,1838,8
2001,1711,8
2002,1598,8
2003,1507,8
2004,1437,8
2005,1365,8
2006,1297,8
2007,1236,8
2008,1193,8
2009,1193,8
2010,1205,8
2011,1229,8
2012,1269,8
2013,1318,8
2014,1393,8
1990,2257,9
1991,4028,9
1992,6910,9
1993,10852,9
1994,14820,9
1995,16881,9
1996,16007,9
1997,13317,9
1998,10461,9
1999,8999,9
2000,8275,9
2001,8110,9
2002,8218,9
2003,8434,9
2004,8691,9
2005,8933,9
2006,9039,9
2007,8958,9
2008,8541,9
2009,8184,9
2010,7842,9
2011,7623,9
2012,7642,9
2013,7683,9
2014,7701,9
1990,7404,10
1991,9695,10
1992,11893,10
1993,13785,10
1994,15057,10
1995,15635,10
1996,15494,10
1997,14770,10
1998,13751,10
1999,12594,10
2000,11421,10
2001,10341,10
2002,9380,10
2003,8543,10
2004,7823,10
2005,7220,10
2006,6824,10
2007,6590,10
2008,6494,10
2009,6343,10
2010,6232,10
2011,6291,10
2012,6414,10
2013,6125,10
2014,6004,10
1990,2228,11
1991,2611,11
1992,3107,11
1993,3592,11
1994,4111,11
1995,4681,11
1996,5202,11
1997,5729,11
1998,6190,11
1999,6591,11
2000,6894,11
2001,7363,11
2002,7724,11
2003,7967,11
2004,8223,11
2005,8487,11
2006,8617,11
2007,8865,11
2008,8934,11
2009,9101,11
2010,9112,11
2011,9140,11
2012,9148,11
2013,9135,11